Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date,Transaction Month
TXN_6420335,Coffee,1.0,2.0,2.0,Cash,Takeaway,2023-07-16,July
TXN_3858209,Sandwich,4.0,4.0,16.0,Cash,In-store,2023-02-22,February
TXN_8735480,Tea,5.0,1.5,7.5,Cash,Takeaway,2023-06-02,June
TXN_3829165,Juice,4.0,3.0,12.0,Cash,In-store,2023-06-15,June
TXN_3748616,Coffee,2.0,2.0,4.0,Credit Card,In-store,2023-12-09,December
TXN_1993289,Sandwich,2.0,4.0,8.0,Cash,In-store,2023-04-18,April
TXN_2123367,Cookie,2.0,1.0,2.0,Credit Card,In-store,2023-11-07,November
TXN_5266394,Juice,3.0,3.0,9.0,Cash,In-store,2023-10-28,October
TXN_5107946,Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-12-22,December
TXN_8035512,Tea,3.0,1.5,4.5,Cash,In-store,2023-10-29,October
TXN_8718498,Juice,5.0,3.0,15.0,Credit Card,Takeaway,2023-04-30,April
TXN_3955361,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-04-02,April
TXN_9487821,Salad,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-05-24,May
TXN_4132730,Cookie,5.0,1.0,5.0,Cash,In-store,2023-03-12,March
TXN_8976658,Tea,2.0,1.5,3.0,Credit Card,In-store,2023-08-16,August
TXN_5455936,Juice,5.0,3.0,15.0,Credit Card,In-store,2023-10-28,October
TXN_2725602,Juice,5.0,3.0,15.0,Credit Card,In-store,2023-09-10,September
TXN_3011323,Coffee,3.0,2.0,6.0,Credit Card,Takeaway,2023-03-07,March
TXN_6289610,Juice,3.0,3.0,9.0,Cash,Takeaway,2023-08-07,August
TXN_8268061,Salad,3.0,5.0,15.0,Digital Wallet,Takeaway,2023-08-20,August
TXN_5220895,Salad,5.0,5.0,25.0,Cash,In-store,2023-06-10,June
TXN_3085509,Coffee,4.0,2.0,8.0,Digital Wallet,In-store,2023-04-15,April
TXN_9999113,Juice,4.0,3.0,12.0,Cash,Takeaway,2023-05-27,May
TXN_8779771,Coffee,4.0,2.0,8.0,Cash,In-store,2023-07-25,July
TXN_9517146,Salad,5.0,5.0,25.0,Cash,Takeaway,2023-10-30,October
TXN_1621920,Salad,3.0,5.0,15.0,Cash,Takeaway,2023-10-28,October
TXN_3808639,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-12-15,December
TXN_6955416,Salad,4.0,5.0,20.0,Credit Card,In-store,2023-02-25,February
TXN_3775339,Cookie,3.0,1.0,3.0,Credit Card,In-store,2023-04-03,April
TXN_9547091,Cookie,3.0,1.0,3.0,Credit Card,Takeaway,2023-10-08,October
TXN_4358673,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-12-28,December
TXN_4174591,Tea,4.0,1.5,6.0,Digital Wallet,In-store,2023-08-30,August
TXN_3398520,Sandwich,1.0,4.0,4.0,Digital Wallet,In-store,2023-02-03,February
TXN_6171384,Sandwich,2.0,4.0,8.0,Credit Card,Takeaway,2023-09-12,September
TXN_2530938,Sandwich,5.0,4.0,20.0,Cash,Takeaway,2023-04-27,April
TXN_3314971,Juice,3.0,3.0,9.0,Digital Wallet,In-store,2023-05-04,May
TXN_3092382,Coffee,5.0,2.0,10.0,Digital Wallet,Takeaway,2023-02-21,February
TXN_1535311,Juice,3.0,3.0,9.0,Cash,In-store,2023-03-16,March
TXN_2148617,Juice,27.0,3.0,9.0,Digital Wallet,Takeaway,2023-01-10,January
TXN_4368416,Salad,2.0,5.0,10.0,Credit Card,Takeaway,2023-02-24,February
TXN_9790731,Juice,2.0,3.0,6.0,Credit Card,In-store,2023-06-02,June
TXN_9339456,Coffee,3.0,2.0,6.0,Digital Wallet,Takeaway,2023-03-29,March
TXN_5179020,Juice,2.0,3.0,6.0,Cash,Takeaway,2023-06-18,June
TXN_6258471,Coffee,5.0,2.0,10.0,Digital Wallet,In-store,2023-09-23,September
TXN_7945375,Juice,3.0,3.0,9.0,Credit Card,Takeaway,2023-01-14,January
TXN_4685453,Tea,4.0,1.5,6.0,Cash,In-store,2023-09-14,September
TXN_9646452,Juice,5.0,3.0,15.0,Credit Card,In-store,2023-09-16,September
TXN_9096052,Sandwich,4.0,4.0,16.0,Credit Card,Takeaway,2023-12-28,December
TXN_5916991,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-02-06,February
TXN_3407169,Sandwich,2.0,4.0,8.0,Cash,In-store,2023-03-11,March
TXN_2277042,Tea,1.0,1.5,1.5,Cash,Takeaway,2023-04-08,April
TXN_9273729,Tea,1.0,1.5,1.5,Digital Wallet,In-store,2023-12-19,December
TXN_2181545,Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-07-14,July
TXN_1150033,Juice,5.0,3.0,15.0,Cash,In-store,2023-04-18,April
TXN_1443912,Juice,2.0,3.0,6.0,Cash,Takeaway,2023-06-08,June
TXN_8700451,Tea,5.0,1.5,7.5,Credit Card,Takeaway,2023-12-12,December
TXN_6380550,Coffee,5.0,2.0,10.0,Cash,In-store,2023-01-05,January
TXN_4885518,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-06-10,June
TXN_3972167,Sandwich,5.0,4.0,20.0,Credit Card,In-store,2023-01-23,January
TXN_4878378,Tea,1.0,1.5,1.5,Credit Card,In-store,2023-02-20,February
TXN_2484241,Juice,3.0,3.0,9.0,Digital Wallet,Takeaway,2023-07-19,July
TXN_2368126,Juice,5.0,3.0,15.0,Digital Wallet,In-store,2023-12-06,December
TXN_8495063,Juice,1.0,3.0,3.0,Cash,In-store,2023-05-31,May
TXN_4811133,Salad,2.0,5.0,10.0,Cash,Takeaway,2023-08-11,August
TXN_8729570,Tea,5.0,1.5,7.5,Cash,In-store,2023-09-03,September
TXN_7623634,Juice,2.0,3.0,6.0,Credit Card,In-store,2023-07-11,July
TXN_9336980,Salad,4.0,5.0,20.0,Cash,In-store,2023-06-06,June
TXN_3424331,Juice,4.0,3.0,12.0,Credit Card,In-store,2023-01-18,January
TXN_5072031,Juice,2.0,3.0,6.0,Cash,Takeaway,2023-03-23,March
TXN_8687151,Salad,5.0,5.0,25.0,Cash,Takeaway,2023-06-10,June
TXN_5265095,Coffee,1.0,2.0,2.0,Digital Wallet,In-store,2023-06-23,June
TXN_6541415,Juice,36.0,3.0,12.0,Cash,In-store,2023-11-25,November
TXN_4108138,Coffee,5.0,2.0,10.0,Cash,Takeaway,2023-08-03,August
TXN_1909796,Sandwich,2.0,4.0,8.0,Cash,Takeaway,2023-07-12,July
TXN_1928241,Coffee,3.0,2.0,6.0,Cash,In-store,2023-04-30,April
TXN_4283157,Salad,5.0,5.0,25.0,Digital Wallet,In-store,2023-11-25,November
TXN_8013032,Coffee,2.0,2.0,4.0,Credit Card,In-store,2023-03-07,March
TXN_8301424,Juice,2.0,3.0,6.0,Credit Card,Takeaway,2023-06-27,June
TXN_7965998,Juice,1.0,3.0,3.0,Credit Card,In-store,2023-11-02,November
TXN_9238666,Cookie,1.0,1.0,1.0,Digital Wallet,Takeaway,2023-07-31,July
TXN_1631695,Tea,2.0,1.5,3.0,Cash,In-store,2023-09-19,September
TXN_1435086,Juice,5.0,3.0,15.0,Credit Card,In-store,2023-02-09,February
TXN_3226832,Sandwich,5.0,4.0,20.0,Cash,Takeaway,2023-09-04,September
TXN_1648671,Sandwich,3.0,4.0,12.0,Cash,Takeaway,2023-05-21,May
TXN_4062737,Juice,3.0,3.0,9.0,Cash,In-store,2023-07-02,July
TXN_3494565,Sandwich,2.0,4.0,8.0,Digital Wallet,In-store,2023-07-10,July
TXN_9249507,Cookie,4.0,1.0,4.0,Credit Card,In-store,2023-11-21,November
TXN_4689500,Sandwich,4.0,4.0,16.0,Cash,Takeaway,2023-12-02,December
TXN_8989148,Tea,2.0,1.5,3.0,Credit Card,In-store,2023-11-25,November
TXN_8316826,Coffee,3.0,2.0,6.0,Digital Wallet,In-store,2023-04-17,April
TXN_9836934,Cookie,3.0,1.0,3.0,Digital Wallet,In-store,2023-03-13,March
TXN_8005489,Juice,3.0,3.0,9.0,Cash,In-store,2023-08-12,August
TXN_3925836,Cookie,3.0,1.0,3.0,Digital Wallet,In-store,2023-02-16,February
TXN_1896955,Salad,125.0,5.0,25.0,Credit Card,In-store,2023-09-23,September
TXN_5075974,Sandwich,64.0,4.0,16.0,Digital Wallet,Takeaway,2023-04-11,April
TXN_3978874,Sandwich,5.0,4.0,20.0,Credit Card,In-store,2023-03-13,March
TXN_8955912,Sandwich,1.0,4.0,4.0,Digital Wallet,In-store,2023-11-07,November
TXN_1136554,Sandwich,3.0,4.0,12.0,Cash,Takeaway,2023-03-26,March
TXN_8007337,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-11-01,November
TXN_8129834,Salad,1.0,5.0,5.0,Cash,Takeaway,2023-07-22,July
TXN_3831848,Sandwich,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-11-03,November
TXN_5365809,Juice,3.0,3.0,9.0,Cash,In-store,2023-09-14,September
TXN_8166407,Sandwich,2.0,4.0,8.0,Credit Card,In-store,2023-07-26,July
TXN_6629480,Sandwich,5.0,4.0,20.0,Credit Card,In-store,2023-02-28,February
TXN_3833797,Coffee,4.0,2.0,8.0,Digital Wallet,In-store,2023-01-27,January
TXN_2643815,Cookie,3.0,1.0,3.0,Cash,Takeaway,2023-12-06,December
TXN_2996519,Juice,5.0,3.0,15.0,Cash,In-store,2023-01-19,January
TXN_8810894,Sandwich,1.0,4.0,4.0,Credit Card,Takeaway,2023-02-20,February
TXN_7412722,Juice,4.0,3.0,12.0,Cash,In-store,2023-04-07,April
TXN_3937509,Sandwich,2.0,4.0,8.0,Digital Wallet,In-store,2023-03-20,March
TXN_6000201,Cookie,3.0,1.0,3.0,Cash,Takeaway,2023-02-16,February
TXN_1714274,Cookie,4.0,1.0,4.0,Cash,In-store,2023-12-27,December
TXN_3800182,Tea,2.0,1.5,3.0,Cash,In-store,2023-10-26,October
TXN_5115080,Juice,5.0,3.0,15.0,Credit Card,In-store,2023-02-18,February
TXN_9788956,Juice,36.0,3.0,12.0,Credit Card,Takeaway,2023-04-11,April
TXN_6311602,Juice,3.0,3.0,9.0,Credit Card,In-store,2023-05-15,May
TXN_2950680,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-12-10,December
TXN_6749847,Juice,2.0,3.0,6.0,Credit Card,Takeaway,2023-08-15,August
TXN_2143187,Sandwich,1.0,4.0,4.0,Digital Wallet,In-store,2023-04-21,April
TXN_8964522,Juice,3.0,3.0,9.0,Credit Card,Takeaway,2023-10-28,October
TXN_4088917,Coffee,3.0,2.0,6.0,Cash,Takeaway,2023-02-04,February
TXN_3779366,Cookie,1.0,1.0,1.0,Digital Wallet,In-store,2023-04-15,April
TXN_7724048,Sandwich,1.0,4.0,4.0,Cash,In-store,2023-11-12,November
TXN_2698591,Tea,5.0,1.5,7.5,Credit Card,In-store,2023-08-05,August
TXN_3171373,Sandwich,3.0,4.0,12.0,Credit Card,In-store,2023-05-10,May
TXN_6498163,Sandwich,5.0,4.0,20.0,Digital Wallet,In-store,2023-07-15,July
TXN_6717827,Salad,3.0,5.0,15.0,Digital Wallet,Takeaway,2023-11-15,November
TXN_9089898,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-01-11,January
TXN_8587583,Juice,1.0,3.0,3.0,Cash,Takeaway,2023-10-01,October
TXN_8693704,Salad,125.0,5.0,25.0,Cash,In-store,2023-05-04,May
TXN_3857960,Salad,4.0,5.0,20.0,Cash,In-store,2023-04-26,April
TXN_3499124,Sandwich,4.0,4.0,16.0,Credit Card,In-store,2023-08-25,August
TXN_9250710,Salad,1.0,5.0,5.0,Cash,In-store,2023-05-28,May
TXN_7058377,Juice,1.0,3.0,3.0,Credit Card,Takeaway,2023-04-30,April
TXN_6766492,Salad,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-01-14,January
TXN_9879996,Coffee,4.0,2.0,8.0,Digital Wallet,In-store,2023-03-01,March
TXN_4291940,Juice,3.0,3.0,9.0,Credit Card,In-store,2023-11-13,November
TXN_7433461,Cookie,2.0,1.0,2.0,Digital Wallet,In-store,2023-07-09,July
TXN_4068262,Salad,2.0,5.0,10.0,Credit Card,Takeaway,2023-05-13,May
TXN_5047447,Salad,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-12-27,December
TXN_6623508,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-05-18,May
TXN_2651216,Sandwich,3.0,4.0,12.0,Cash,In-store,2023-04-04,April
TXN_9350833,Juice,1.0,3.0,3.0,Cash,Takeaway,2023-01-17,January
TXN_8377564,Juice,5.0,3.0,15.0,Credit Card,In-store,2023-07-14,July
TXN_7031118,Salad,1.0,5.0,5.0,Credit Card,Takeaway,2023-03-29,March
TXN_2230167,Juice,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-09-22,September
TXN_6446616,Tea,3.0,1.5,4.5,Digital Wallet,In-store,2023-09-30,September
TXN_1721827,Juice,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-08-22,August
TXN_6334895,Sandwich,1.0,4.0,4.0,Credit Card,In-store,2023-07-27,July
TXN_7077119,Sandwich,1.0,4.0,4.0,Digital Wallet,In-store,2023-12-30,December
TXN_4700144,Coffee,4.0,2.0,8.0,Cash,In-store,2023-12-21,December
TXN_5526852,Sandwich,5.0,4.0,20.0,Digital Wallet,In-store,2023-09-28,September
TXN_6846228,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-11-16,November
TXN_8570890,Juice,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-04-14,April
TXN_3205009,Tea,2.0,1.5,3.0,Cash,In-store,2023-01-03,January
TXN_3786188,Tea,3.0,1.5,4.5,Credit Card,In-store,2023-10-20,October
TXN_4530804,Coffee,4.0,2.0,8.0,Cash,In-store,2023-01-12,January
TXN_9642066,Sandwich,3.0,4.0,12.0,Credit Card,In-store,2023-08-31,August
TXN_7328294,Juice,2.0,3.0,6.0,Cash,Takeaway,2023-07-07,July
TXN_9238066,Tea,5.0,1.5,7.5,Digital Wallet,In-store,2023-09-15,September
TXN_5415901,Juice,2.0,3.0,6.0,Digital Wallet,In-store,2023-10-21,October
TXN_6714420,Juice,2.0,3.0,6.0,Credit Card,Takeaway,2023-03-30,March
TXN_6616971,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-09-02,September
TXN_7803615,Salad,3.0,5.0,15.0,Cash,In-store,2023-12-13,December
TXN_3544789,Tea,4.0,1.5,6.0,Credit Card,In-store,2023-07-14,July
TXN_1583597,Salad,1.0,5.0,5.0,Cash,In-store,2023-05-10,May
TXN_8472308,Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-08-19,August
TXN_1967565,Sandwich,5.0,4.0,20.0,Credit Card,Takeaway,2023-03-31,March
TXN_2029497,Sandwich,2.0,4.0,8.0,Cash,Takeaway,2023-01-06,January
TXN_8929774,Juice,3.0,3.0,9.0,Cash,Takeaway,2023-10-02,October
TXN_7852990,Sandwich,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-07-10,July
TXN_2534066,Salad,2.0,5.0,10.0,Cash,In-store,2023-10-13,October
TXN_2059647,Tea,1.0,1.5,1.5,Digital Wallet,In-store,2023-05-29,May
TXN_2485183,Sandwich,5.0,4.0,20.0,Cash,In-store,2023-07-07,July
TXN_7374846,Sandwich,1.0,4.0,4.0,Credit Card,Takeaway,2023-05-29,May
TXN_9401522,Sandwich,4.0,4.0,16.0,Digital Wallet,In-store,2023-11-16,November
TXN_8250651,Sandwich,4.0,4.0,16.0,Digital Wallet,In-store,2023-03-13,March
TXN_7191245,Juice,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-05-22,May
TXN_8982764,Juice,5.0,3.0,15.0,Digital Wallet,Takeaway,2023-11-23,November
TXN_8669422,Juice,4.0,3.0,12.0,Cash,Takeaway,2023-10-15,October
TXN_1153869,Sandwich,5.0,4.0,20.0,Credit Card,Takeaway,2023-11-03,November
TXN_5043774,Sandwich,3.0,4.0,12.0,Cash,In-store,2023-06-08,June
TXN_1746320,Salad,1.0,5.0,5.0,Cash,Takeaway,2023-11-14,November
TXN_1077129,Cookie,1.0,1.0,1.0,Cash,In-store,2023-09-12,September
TXN_4865338,Sandwich,64.0,4.0,16.0,Credit Card,In-store,2023-11-26,November
TXN_5616583,Sandwich,1.0,4.0,4.0,Digital Wallet,In-store,2023-10-13,October
TXN_2078474,Cookie,2.0,1.0,2.0,Cash,Takeaway,2023-11-03,November
TXN_2130245,Sandwich,5.0,4.0,20.0,Credit Card,Takeaway,2023-11-13,November
TXN_9076216,Juice,1.0,3.0,3.0,Cash,In-store,2023-12-17,December
TXN_6371987,Tea,5.0,1.5,7.5,Credit Card,Takeaway,2023-03-13,March
TXN_9913877,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-05-09,May
TXN_2084377,Sandwich,1.0,4.0,4.0,Credit Card,In-store,2023-10-22,October
TXN_1842675,Cookie,4.0,1.0,4.0,Credit Card,Takeaway,2023-06-23,June
TXN_8605813,Cookie,1.0,1.0,1.0,Digital Wallet,Takeaway,2023-06-30,June
TXN_9755352,Sandwich,5.0,4.0,20.0,Cash,In-store,2023-05-13,May
TXN_2305908,Coffee,16.0,2.0,8.0,Cash,In-store,2023-04-25,April
TXN_6953697,Sandwich,3.0,4.0,12.0,Credit Card,Takeaway,2023-05-27,May
TXN_7557340,Tea,5.0,1.5,7.5,Credit Card,In-store,2023-12-11,December
TXN_1157817,Sandwich,1.0,4.0,4.0,Digital Wallet,In-store,2023-04-25,April
TXN_2020318,Tea,3.0,1.5,4.5,Digital Wallet,In-store,2023-10-12,October
TXN_8692094,Coffee,5.0,2.0,10.0,Digital Wallet,Takeaway,2023-08-30,August
TXN_5307411,Juice,3.0,3.0,9.0,Digital Wallet,Takeaway,2023-10-21,October
TXN_9703120,Coffee,3.0,2.0,6.0,Credit Card,Takeaway,2023-11-02,November
TXN_1289133,Juice,1.0,3.0,3.0,Cash,In-store,2023-09-19,September
TXN_2031459,Juice,3.0,3.0,9.0,Cash,Takeaway,2023-07-04,July
TXN_1333682,Sandwich,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-01-28,January
TXN_2256622,Cookie,2.0,1.0,2.0,Cash,In-store,2023-10-04,October
TXN_4912930,Sandwich,3.0,4.0,12.0,Credit Card,In-store,2023-02-26,February
TXN_4942692,Coffee,2.0,2.0,4.0,Cash,Takeaway,2023-01-15,January
TXN_3723007,Tea,3.0,1.5,4.5,Digital Wallet,In-store,2023-05-18,May
TXN_7922392,Sandwich,3.0,4.0,12.0,Credit Card,In-store,2023-05-03,May
TXN_7498727,Salad,3.0,5.0,15.0,Cash,Takeaway,2023-11-06,November
TXN_1222338,Cookie,1.0,1.0,1.0,Digital Wallet,In-store,2023-10-11,October
TXN_6878866,Sandwich,3.0,4.0,12.0,Credit Card,In-store,2023-02-25,February
TXN_9223242,Sandwich,2.0,4.0,8.0,Cash,Takeaway,2023-09-10,September
TXN_6244211,Sandwich,2.0,4.0,8.0,Credit Card,In-store,2023-08-11,August
TXN_5446858,Cookie,1.0,1.0,1.0,Cash,In-store,2023-11-07,November
TXN_4612864,Tea,3.0,1.5,4.5,Digital Wallet,Takeaway,2023-02-14,February
TXN_5411381,Cookie,1.0,1.0,1.0,Cash,In-store,2023-04-28,April
TXN_3047598,Cookie,1.0,1.0,1.0,Credit Card,Takeaway,2023-09-06,September
TXN_5754317,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-01-10,January
TXN_7496926,Sandwich,3.0,4.0,12.0,Digital Wallet,In-store,2023-04-23,April
TXN_7559388,Salad,4.0,5.0,20.0,Digital Wallet,Takeaway,2023-02-26,February
TXN_8540499,Cookie,3.0,1.0,3.0,Cash,In-store,2023-01-22,January
TXN_4225756,Cookie,3.0,1.0,3.0,Cash,In-store,2023-03-10,March
TXN_6795640,Cookie,4.0,1.0,4.0,Digital Wallet,Takeaway,2023-01-28,January
TXN_6702428,Coffee,5.0,2.0,10.0,Cash,Takeaway,2023-08-11,August
TXN_8955259,Sandwich,2.0,4.0,8.0,Credit Card,In-store,2023-11-18,November
TXN_4639319,Coffee,5.0,2.0,10.0,Cash,Takeaway,2023-01-09,January
TXN_5997803,Coffee,5.0,2.0,10.0,Credit Card,In-store,2023-12-03,December
TXN_1340956,Coffee,4.0,2.0,8.0,Digital Wallet,In-store,2023-10-26,October
TXN_1259671,Sandwich,48.0,4.0,12.0,Digital Wallet,In-store,2023-10-08,October
TXN_8319993,Juice,1.0,3.0,3.0,Digital Wallet,Takeaway,2023-08-06,August
TXN_5523450,Salad,5.0,5.0,25.0,Credit Card,Takeaway,2023-07-02,July
TXN_7838964,Sandwich,3.0,4.0,12.0,Credit Card,In-store,2023-06-15,June
TXN_2773987,Sandwich,5.0,4.0,20.0,Cash,In-store,2023-01-11,January
TXN_1158829,Tea,1.0,1.5,1.5,Credit Card,Takeaway,2023-10-02,October
TXN_8685737,Sandwich,2.0,4.0,8.0,Credit Card,In-store,2023-11-02,November
TXN_5634135,Cookie,2.0,1.0,2.0,Digital Wallet,In-store,2023-01-27,January
